ID,recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,DM_category,Label,Score
60900,1,2) $100 - $200,185.83,0,1,Rural,1,Phone,Womens E-Mail,1,0,0.4046
60901,2,3) $200 - $350,233.67,1,0,Surburban,0,Web,Mens E-Mail,2,1,0.5657
60902,9,2) $100 - $200,127.99,1,0,Surburban,0,Phone,Womens E-Mail,4,0,0.003
60903,1,1) $0 - $100,69.22,0,1,Rural,0,Phone,No E-Mail,5,0,0.2337
60904,12,2) $100 - $200,195.67,0,1,Surburban,0,Web,No E-Mail,5,0,0.0059
60905,7,1) $0 - $100,40.69,0,1,Surburban,1,Phone,Womens E-Mail,1,0,0.0349
60906,4,5) $500 - $750,639.17,1,0,Surburban,1,Web,No E-Mail,6,0,0.0247
60907,11,1) $0 - $100,97.16,1,0,Surburban,1,Phone,Womens E-Mail,4,0,0.0009
60908,1,2) $100 - $200,172.4,0,1,Urban,1,Web,No E-Mail,5,0,0.0982
60909,6,5) $500 - $750,553.47,0,1,Urban,1,Web,Mens E-Mail,3,0,0.4034
60910,5,1) $0 - $100,29.99,1,0,Surburban,1,Web,Mens E-Mail,2,0,0.0958
60911,1,1) $0 - $100,74.94,0,1,Urban,0,Phone,No E-Mail,5,0,0.0946
60912,1,2) $100 - $200,170.04,0,1,Rural,0,Phone,Mens E-Mail,3,1,0.5918
60913,9,1) $0 - $100,29.99,1,0,Urban,1,Phone,Womens E-Mail,4,0,0.002
60914,2,1) $0 - $100,74.03,1,0,Urban,0,Phone,Mens E-Mail,2,0,0.2567
60915,9,3) $200 - $350,332.3,0,1,Urban,0,Web,Mens E-Mail,3,0,0.1239
60916,8,3) $200 - $350,322.69,0,1,Surburban,0,Web,Mens E-Mail,3,0,0.1383
60917,1,3) $200 - $350,218.32,0,1,Surburban,1,Phone,No E-Mail,5,0,0.1357
60918,8,1) $0 - $100,43.2,1,0,Rural,1,Web,Womens E-Mail,4,0,0.0109
60919,6,1) $0 - $100,81.8,1,0,Rural,0,Web,Mens E-Mail,2,0,0.3158
60920,3,5) $500 - $750,598.95,1,0,Urban,1,Phone,Womens E-Mail,4,0,0.1107
60921,5,1) $0 - $100,29.99,0,1,Urban,0,Phone,No E-Mail,5,0,0.0244
60922,6,4) $350 - $500,375.85,0,1,Surburban,0,Web,No E-Mail,5,0,0.2407
60923,10,1) $0 - $100,59.54,1,0,Urban,1,Web,Womens E-Mail,4,0,0.0032
60924,9,2) $100 - $200,144.49,0,1,Urban,1,Web,No E-Mail,5,0,0.0074
60925,1,2) $100 - $200,129.8,0,1,Surburban,0,Phone,Womens E-Mail,1,0,0.261
60926,1,1) $0 - $100,47.28,0,1,Urban,0,Phone,No E-Mail,5,0,0.0945
60927,4,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Womens E-Mail,1,0,0.1057
60928,7,1) $0 - $100,58.16,0,1,Surburban,1,Phone,Womens E-Mail,1,0,0.0349
60929,5,1) $0 - $100,46.68,0,1,Surburban,1,Web,No E-Mail,5,0,0.0262
60930,8,3) $200 - $350,336.78,0,1,Surburban,0,Phone,No E-Mail,5,0,0.0202
60931,11,2) $100 - $200,138.92,1,0,Rural,1,Web,Mens E-Mail,2,0,0.0343
60932,9,1) $0 - $100,29.99,1,0,Urban,0,Phone,No E-Mail,6,0,0.0008
60933,8,1) $0 - $100,53.37,1,0,Rural,1,Web,Womens E-Mail,4,0,0.0109
60934,10,2) $100 - $200,170.74,0,1,Surburban,1,Web,Mens E-Mail,3,0,0.035
60935,9,3) $200 - $350,276.19,1,0,Urban,0,Web,Mens E-Mail,2,0,0.0987
60936,7,2) $100 - $200,152.93,1,0,Surburban,0,Web,No E-Mail,6,0,0.0029
60937,2,2) $100 - $200,116.75,1,0,Urban,0,Web,Womens E-Mail,4,0,0.0559
60938,2,1) $0 - $100,29.99,1,0,Urban,0,Web,No E-Mail,6,0,0.0159
60939,9,1) $0 - $100,38.23,1,0,Urban,1,Web,No E-Mail,6,0,0.0009
60940,2,4) $350 - $500,426.52,0,1,Urban,0,Web,Womens E-Mail,1,1,0.8032
60941,10,5) $500 - $750,749.2,1,1,Urban,1,Phone,Womens E-Mail,5,0,0.078
60942,3,1) $0 - $100,46,0,1,Urban,0,Phone,Mens E-Mail,3,0,0.272
60943,7,4) $350 - $500,429.46,0,1,Urban,0,Phone,Womens E-Mail,1,0,0.3121
60944,2,3) $200 - $350,205.54,0,1,Urban,0,Web,No E-Mail,5,0,0.2435
60945,10,1) $0 - $100,48.14,1,0,Urban,1,Phone,No E-Mail,6,0,0.0005
60946,1,3) $200 - $350,211.19,0,1,Rural,0,Web,Womens E-Mail,1,1,0.7952
60947,2,4) $350 - $500,408.8,0,1,Urban,0,Multichannel,Mens E-Mail,3,1,0.907
60948,5,3) $200 - $350,213.9,1,1,Urban,1,Web,Womens E-Mail,5,0,0.1244
60949,3,3) $200 - $350,254.97,1,0,Urban,1,Multichannel,Mens E-Mail,2,1,0.5655
60950,7,3) $200 - $350,345.74,0,1,Urban,1,Phone,No E-Mail,5,0,0.0252
60951,5,2) $100 - $200,151.91,1,0,Urban,1,Web,Womens E-Mail,4,0,0.011
60952,1,4) $350 - $500,451.07,1,0,Urban,0,Multichannel,Womens E-Mail,4,1,0.5206
