ID,recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,DM_category
60900,1,2) $100 - $200,185.83,0,1,Rural,1,Phone,Womens E-Mail,1
60901,2,3) $200 - $350,233.67,1,0,Surburban,0,Web,Mens E-Mail,2
60902,9,2) $100 - $200,127.99,1,0,Surburban,0,Phone,Womens E-Mail,4
60903,1,1) $0 - $100,69.22,0,1,Rural,0,Phone,No E-Mail,5
60904,12,2) $100 - $200,195.67,0,1,Surburban,0,Web,No E-Mail,5
60905,7,1) $0 - $100,40.69,0,1,Surburban,1,Phone,Womens E-Mail,1
60906,4,5) $500 - $750,639.17,1,0,Surburban,1,Web,No E-Mail,6
60907,11,1) $0 - $100,97.16,1,0,Surburban,1,Phone,Womens E-Mail,4
60908,1,2) $100 - $200,172.4,0,1,Urban,1,Web,No E-Mail,5
60909,6,5) $500 - $750,553.47,0,1,Urban,1,Web,Mens E-Mail,3
60910,5,1) $0 - $100,29.99,1,0,Surburban,1,Web,Mens E-Mail,2
60911,1,1) $0 - $100,74.94,0,1,Urban,0,Phone,No E-Mail,5
60912,1,2) $100 - $200,170.04,0,1,Rural,0,Phone,Mens E-Mail,3
60913,9,1) $0 - $100,29.99,1,0,Urban,1,Phone,Womens E-Mail,4
60914,2,1) $0 - $100,74.03,1,0,Urban,0,Phone,Mens E-Mail,2
60915,9,3) $200 - $350,332.3,0,1,Urban,0,Web,Mens E-Mail,3
60916,8,3) $200 - $350,322.69,0,1,Surburban,0,Web,Mens E-Mail,3
60917,1,3) $200 - $350,218.32,0,1,Surburban,1,Phone,No E-Mail,5
60918,8,1) $0 - $100,43.2,1,0,Rural,1,Web,Womens E-Mail,4
60919,6,1) $0 - $100,81.8,1,0,Rural,0,Web,Mens E-Mail,2
60920,3,5) $500 - $750,598.95,1,0,Urban,1,Phone,Womens E-Mail,4
60921,5,1) $0 - $100,29.99,0,1,Urban,0,Phone,No E-Mail,5
60922,6,4) $350 - $500,375.85,0,1,Surburban,0,Web,No E-Mail,5
60923,10,1) $0 - $100,59.54,1,0,Urban,1,Web,Womens E-Mail,4
60924,9,2) $100 - $200,144.49,0,1,Urban,1,Web,No E-Mail,5
